experiment_id,research_area,protein_concentration,success_rate,funding_stage
EXP047,Metabolic_Disorders,33.19,53.5,Phase_II
EXP048,Immunology,36.88,74.7,Preclinical
EXP049,Neuroscience,0.3,51.3,Phase_III
EXP050,Oncology,7.45,38.8,Preclinical
EXP051,Immunology,48.69,76.3,Phase_III
EXP052,Metabolic_Disorders,32.5,67.3,Preclinical
EXP053,Oncology,36.59,18.3,Phase_II
EXP054,Immunology,47.59,56.9,Phase_I
EXP055,Neuroscience,45.24,84.4,Preclinical
EXP056,Metabolic_Disorders,49.47,60,Phase_III
EXP057,Oncology,39.63,94.8,Phase_I
EXP058,Neuroscience,11.49,67.7,Phase_II
EXP059,Neuroscience,14.59,46.2,Phase_II
EXP060,Neuroscience,21.06,28.7,Phase_I
EXP061,Metabolic_Disorders,48.19,81.4,Phase_II
EXP062,Oncology,17.1,34.7,Phase_I
EXP063,Neuroscience,3.77,55.8,Phase_II
EXP064,Immunology,40.8,33.3,Phase_III
EXP065,Oncology,27.28,18.2,Phase_III
EXP066,Oncology,27.27,82.4,Preclinical
EXP067,Gene_Therapy,32.5,64.2,Phase_I
EXP068,Immunology,24.42,60.8,Phase_I
EXP069,Immunology,37.71,88.3,Phase_II
EXP070,Oncology,45.21,78.4,Phase_III
EXP071,Metabolic_Disorders,9.02,82.8,Approved
EXP072,Gene_Therapy,-5.2,82.7,Phase_II
EXP073,Gene_Therapy,33.22,83.6,Preclinical
EXP074,Neuroscience,39.05,52.2,Phase_I
EXP075,Gene_Therapy,10.1,16.9,Phase_I
EXP076,Oncology,41.51,18.8,Preclinical
EXP077,Oncology,10.39,44.8,Preclinical
EXP078,Gene_Therapy,27.44,26.2,Phase_II
EXP079,Metabolic_Disorders,24.5,81.2,Phase_III
EXP080,Oncology,38.3,22.6,Preclinical
EXP081,Neuroscience,18.14,40.6,Phase_I
EXP082,Oncology,3.35,37.8,Approved
EXP083,Metabolic_Disorders,29.43,62.4,Phase_III
EXP084,Oncology,20.97,22.8,Preclinical
EXP085,Metabolic_Disorders,11.29,71.1,Preclinical
EXP086,Neuroscience,48.86,55.5,Preclinical
EXP087,Oncology,40.99,19.6,Preclinical
EXP088,Oncology,41.31,39.4,Preclinical
EXP089,Neuroscience,8,33.1,Phase_I
EXP090,Gene_Therapy,9.04,27,Phase_II
EXP091,Neuroscience,41.32,94.9,Phase_I
EXP092,Gene_Therapy,25.64,32.8,Approved
EXP093,Oncology,36.95,29.4,Phase_III
EXP094,Oncology,26.91,83.9,Approved
EXP095,Gene_Therapy,39.37,45.8,Phase_II
EXP096,Metabolic_Disorders,14.74,88.8,Preclinical
EXP097,Neuroscience,21.1,62.7,Phase_II
EXP098,Gene_Therapy,49.25,83,Phase_II
EXP099,Immunology,20.41,28.6,Phase_I
EXP100,Neuroscience,11.58,57.4,Phase_I
EXP101,Gene_Therapy,34.15,22,Phase_II
EXP102,Oncology,21.75,67.2,Preclinical
EXP103,Metabolic_Disorders,24.08,62.6,Preclinical
EXP104,Oncology,21.56,93.5,Preclinical
EXP105,Neuroscience,6.54,28,Phase_II
EXP106,Metabolic_Disorders,38.03,68.1,Phase_I
EXP107,Oncology,22.22,59.6,Phase_I
EXP108,Gene_Therapy,21.81,70.3,Preclinical
EXP109,Metabolic_Disorders,22.13,86.7,Preclinical
EXP110,Immunology,33.16,30.3,Phase_II
EXP111,Gene_Therapy,30.28,78.6,Phase_II
EXP112,Oncology,23.2,46.7,Preclinical
EXP113,Immunology,46.51,56.4,Approved
EXP114,Metabolic_Disorders,21.19,39.3,Preclinical
EXP115,Oncology,47.83,41.8,Preclinical
EXP116,Immunology,3.4,30.3,Preclinical
EXP117,Neuroscience,1.56,34,Preclinical
EXP118,Neuroscience,22.15,83.8,Preclinical
EXP119,Metabolic_Disorders,40.33,75.1,Phase_I
EXP120,Immunology,6.81,38.3,Phase_II
EXP121,Gene_Therapy,28.87,77.1,Phase_III
EXP122,Gene_Therapy,20.18,24.7,Phase_I
EXP123,Immunology,2.34,34.8,Phase_III
EXP124,Gene_Therapy,5.38,20.3,Phase_III
EXP125,Immunology,49.63,23.2,Approved
EXP126,Gene_Therapy,37.93,18.9,Phase_III
EXP127,Immunology,28.08,89.9,Preclinical
EXP128,Oncology,26.69,55.5,Phase_I
EXP129,Oncology,17.54,78.6,Approved
EXP130,Immunology,43.49,77.6,Phase_I
EXP131,Immunology,9.52,35.6,Preclinical
EXP132,Metabolic_Disorders,0.91,18.9,Phase_II
EXP133,Gene_Therapy,33.79,88,Phase_II
EXP134,Immunology,35,23.2,Phase_I
EXP135,Metabolic_Disorders,1.43,33.8,Phase_II
EXP136,Gene_Therapy,2.53,89.2,Phase_II
EXP137,Neuroscience,17.98,25.2,Phase_III
EXP138,Immunology,29,81,Phase_I
EXP139,Neuroscience,40.61,24.9,Preclinical
EXP140,Immunology,41.89,37.6,Preclinical
EXP141,Neuroscience,48.43,63.9,Phase_I
EXP142,Gene_Therapy,1.41,69,Phase_I
EXP143,Immunology,14.95,19.5,Preclinical
EXP144,Neuroscience,22.28,59.4,Phase_III
EXP145,Immunology,35.42,51.2,Preclinical
EXP146,Neuroscience,9.14,60,Preclinical
EXP147,Oncology,42.22,30.2,Preclinical
EXP148,Oncology,25.32,94.9,Phase_II
EXP149,Gene_Therapy,42.13,18.6,Approved
EXP150,Metabolic_Disorders,7.52,90.4,Phase_III
EXP151,Immunology,17.19,18.2,Phase_II
EXP152,Gene_Therapy,41.72,80,Approved
EXP153,Oncology,25.95,55.7,Preclinical
EXP154,Oncology,6.66,71.2,Phase_I
EXP155,Gene_Therapy,25.68,49.7,Phase_II
EXP156,Neuroscience,21.33,15.4,Phase_III
EXP157,Oncology,5.86,19.4,Phase_III
EXP158,Gene_Therapy,38.99,32.8,Phase_I
EXP159,Oncology,9.11,58.2,Preclinical
EXP160,Immunology,20.55,88.2,Phase_I
EXP161,Oncology,10.37,82.7,Preclinical
EXP162,Oncology,38.27,35.4,Phase_I
EXP163,Oncology,25.7,76.5,Phase_II
EXP164,Oncology,0.13,73.6,Preclinical
EXP165,Metabolic_Disorders,29.46,59.5,Preclinical
EXP166,Gene_Therapy,21.92,28.1,Phase_III
EXP167,Immunology,12.12,33.1,Phase_I
EXP168,Gene_Therapy,43.9,79.5,Preclinical
EXP169,Gene_Therapy,33.49,78.6,Phase_III
EXP170,Gene_Therapy,3.55,23.5,Phase_II
EXP171,Gene_Therapy,22.52,42,Preclinical
EXP172,Neuroscience,27.76,70.3,Preclinical
EXP173,Metabolic_Disorders,35.15,42.8,Preclinical
EXP174,Immunology,31.7,73.5,Preclinical
EXP175,Oncology,42.73,58.6,Phase_III
EXP176,Gene_Therapy,10.53,77.2,Phase_I
EXP177,Immunology,6.35,50.3,Phase_I
EXP178,Oncology,30.1,50.7,Phase_II
EXP179,Oncology,31.91,60.3,Preclinical
EXP180,Neuroscience,6.57,71.4,Preclinical
EXP181,Neuroscience,7.79,16.3,Approved
EXP182,Metabolic_Disorders,31.58,78.5,Phase_II
EXP183,Oncology,0.11,71.6,Phase_II
EXP184,Gene_Therapy,26,92.9,Phase_I
EXP185,Gene_Therapy,35.37,30.6,Phase_II
EXP186,Metabolic_Disorders,38.48,44.7,Phase_III
EXP187,Oncology,8.34,15.8,Phase_III
EXP188,Immunology,4.69,70.7,Phase_III
EXP189,Gene_Therapy,4.44,83.1,Phase_III
EXP190,Oncology,47.26,29.6,Phase_I
EXP191,Gene_Therapy,13.77,44.5,Phase_III
EXP192,Immunology,11.81,57.1,Phase_II
EXP193,Neuroscience,24.77,50.6,Preclinical
EXP194,Immunology,17.19,35,Phase_II
EXP195,Oncology,2.24,75.8,Preclinical
EXP196,Gene_Therapy,7.44,29.7,Preclinical
EXP197,Neuroscience,4.94,59,Preclinical
EXP198,Oncology,37.48,37.5,Phase_I
EXP199,Oncology,41.64,43,Preclinical
EXP200,Metabolic_Disorders,17.76,72.5,Phase_III
EXP201,Metabolic_Disorders,45.78,85.9,Preclinical
EXP202,Neuroscience,19.78,75.1,Preclinical
EXP203,Immunology,18.18,63.2,Phase_I
EXP204,Oncology,48.59,34.7,Preclinical
EXP205,Immunology,16.36,78.7,Phase_II
EXP206,Oncology,7.79,61.6,Phase_I
EXP207,Immunology,3.01,64,Phase_II
EXP208,Gene_Therapy,29.11,94.5,Phase_II
EXP209,Gene_Therapy,12.79,22.3,Phase_II
EXP210,Metabolic_Disorders,8.14,67.3,Preclinical
EXP211,Metabolic_Disorders,46.49,62,Preclinical
EXP212,Immunology,38.06,85.6,Preclinical
EXP213,Neuroscience,47.81,17.6,Phase_I
EXP214,Oncology,1.45,53.5,Preclinical
EXP215,Immunology,43.5,42.3,Preclinical
EXP216,Immunology,49.59,86.9,Phase_II
EXP217,Oncology,27.85,37.2,Phase_III
EXP218,Metabolic_Disorders,39.47,28.2,Phase_I
EXP219,Oncology,14.41,63.5,Phase_III
EXP220,Immunology,28.53,61.8,Preclinical
EXP221,Neuroscience,6.61,23.8,Approved
EXP222,Neuroscience,41.96,18.4,Phase_I
EXP223,Oncology,15.36,88.4,Preclinical
EXP224,Immunology,10.36,64.6,Phase_II
EXP225,Neuroscience,39.53,48,Phase_I
EXP226,Immunology,21.76,42.8,Preclinical
EXP227,Oncology,19.49,75.9,Approved
EXP228,Metabolic_Disorders,0.57,18.3,Phase_I
EXP229,Immunology,34.39,90.4,Preclinical
EXP230,Oncology,19.73,82.2,Phase_II
EXP231,Gene_Therapy,28.47,86.6,Phase_I
EXP232,Neuroscience,45.72,89.5,Phase_I
EXP233,Oncology,29.69,81.4,Phase_II
EXP234,Immunology,30.95,90.6,Phase_III
EXP235,Immunology,40.45,92.7,Preclinical
EXP236,Oncology,25.56,74.6,Phase_I
EXP237,Gene_Therapy,27.15,93,Approved
EXP238,Neuroscience,21.7,16.2,Preclinical
EXP239,Metabolic_Disorders,33.1,93.6,Preclinical
EXP240,Neuroscience,14.57,19.9,Phase_I
EXP241,Metabolic_Disorders,30.07,34.7,Phase_III
EXP242,Gene_Therapy,47.54,66.1,Phase_III
EXP243,Oncology,4.81,17.6,Phase_I
EXP244,Neuroscience,3.09,24.8,Preclinical
EXP245,Gene_Therapy,45.7,77.3,Preclinical
EXP246,Oncology,9.02,41.5,Preclinical
EXP247,Immunology,7.89,66.4,Preclinical
EXP248,Metabolic_Disorders,20.36,37.3,Phase_II
EXP249,Gene_Therapy,42.1,38.9,Phase_II
EXP250,Metabolic_Disorders,12.11,84.7,Preclinical
EXP251,Metabolic_Disorders,-25,25.3,Preclinical
EXP252,Oncology,0.78,76.5,Phase_II
EXP253,Neuroscience,25.33,41.6,Approved
EXP254,Gene_Therapy,30.87,81.3,Phase_I
EXP255,Neuroscience,2.92,51.3,Preclinical
EXP256,Gene_Therapy,11.77,86.4,Preclinical
EXP257,Oncology,38.99,79.7,Preclinical
EXP258,Neuroscience,47.38,28,Preclinical
EXP259,Metabolic_Disorders,22.61,70.6,Phase_II
EXP260,Metabolic_Disorders,27,83.6,Preclinical
EXP261,Immunology,47.55,17.1,Phase_II
EXP262,Immunology,41.92,46.4,Preclinical
EXP263,Gene_Therapy,7.02,53.1,Phase_I
EXP264,Gene_Therapy,45.81,45.6,Phase_I
EXP265,Metabolic_Disorders,8.08,40.4,Preclinical
EXP266,Gene_Therapy,32.15,78.7,Phase_I
EXP267,Oncology,47.72,83.1,Approved
EXP268,Gene_Therapy,45.15,21.5,Approved
EXP269,Neuroscience,7.18,26,Approved
EXP270,Gene_Therapy,8.1,40.2,Preclinical
EXP271,Neuroscience,26.82,73.2,Phase_I
EXP272,Oncology,12.57,35.6,Phase_II
EXP273,Oncology,49.81,80,Preclinical
EXP274,Neuroscience,18.95,66,Preclinical
EXP275,Gene_Therapy,20.47,73.1,Phase_II
EXP276,Neuroscience,44.93,81.7,Phase_III
EXP277,Immunology,3.07,55.3,Phase_II
EXP278,Immunology,40.76,70.5,Preclinical
EXP279,Oncology,-0.5,82,Phase_I
EXP280,Neuroscience,17.93,65.6,Phase_I
EXP281,Gene_Therapy,6.38,37.2,Approved
EXP282,Immunology,40.17,54.9,Phase_II
EXP283,Gene_Therapy,32.12,63.9,Phase_I
EXP284,Gene_Therapy,1.94,48,Phase_III
EXP285,Gene_Therapy,24.82,56.7,Preclinical
EXP286,Metabolic_Disorders,40.77,15.2,Phase_II
EXP287,Immunology,23.51,19.5,Phase_II
EXP288,Metabolic_Disorders,35.37,64.7,Phase_II
EXP289,Oncology,41.79,50.8,Phase_III
EXP290,Gene_Therapy,15.8,93.1,Phase_III
EXP291,Immunology,1.47,76.5,Preclinical
EXP292,Oncology,9.51,47.4,Preclinical
EXP293,Oncology,36.74,57.1,Preclinical
EXP294,Gene_Therapy,30.57,83.1,Preclinical
EXP295,Metabolic_Disorders,32.89,87.6,Phase_II
EXP296,Immunology,49.44,78.8,Phase_I
EXP297,Gene_Therapy,7.29,85.4,Phase_I
EXP298,Immunology,48.21,23.4,Phase_III
EXP299,Neuroscience,13.24,41.2,Approved
EXP300,Immunology,34.1,59.7,Phase_I
EXP301,Neuroscience,22.61,29.3,Preclinical
EXP302,Gene_Therapy,0.17,48.4,Phase_I
EXP303,Immunology,5.42,46.2,Phase_I
EXP304,Gene_Therapy,24.72,87.9,Preclinical
EXP305,Gene_Therapy,32.7,51.7,Preclinical
EXP306,Gene_Therapy,15.76,63.3,Phase_III
EXP307,Neuroscience,14.95,44.1,Approved
EXP308,Oncology,31.53,90.3,Phase_II
EXP309,Gene_Therapy,15.42,33.6,Phase_II
EXP310,Immunology,44.44,18.5,Preclinical
EXP311,Metabolic_Disorders,26.57,40.2,Phase_III
EXP312,Metabolic_Disorders,43.31,83.4,Preclinical
EXP313,Gene_Therapy,46.48,88.8,Phase_II
EXP314,Oncology,3.42,37,Preclinical
EXP315,Gene_Therapy,39.02,80.6,Phase_III
EXP316,Neuroscience,22.7,24.9,Preclinical
EXP317,Neuroscience,4.69,61.9,Preclinical
EXP318,Gene_Therapy,23.62,73.5,Phase_III
EXP319,Gene_Therapy,2.21,90.6,Phase_I
EXP320,Gene_Therapy,21.78,32.8,Preclinical
EXP321,Metabolic_Disorders,43.92,67.3,Phase_I
EXP322,Immunology,41.28,84.7,Preclinical
EXP323,Oncology,25.92,24,Phase_III
EXP324,Neuroscience,11.5,24.8,Phase_I
EXP325,Oncology,40.46,37.5,Phase_I
EXP326,Metabolic_Disorders,24.52,38.5,Preclinical
EXP327,Oncology,37.11,69.9,Phase_II
EXP328,Immunology,19.19,17,Phase_III
EXP329,Oncology,22.25,90.9,Phase_I
EXP330,Gene_Therapy,20.4,41.7,Phase_III
EXP331,Neuroscience,21.9,91.7,Phase_III
EXP332,Immunology,7.39,84.8,Preclinical
EXP333,Immunology,13.01,30.5,Phase_II
EXP334,Oncology,37.24,19,Phase_II
EXP335,Oncology,0.27,34.6,Preclinical
EXP336,Gene_Therapy,48.07,71.9,Preclinical
EXP337,Oncology,21.01,23.3,Phase_III
EXP338,Immunology,8.14,86.1,Phase_I
EXP339,Metabolic_Disorders,-12.8,53.2,Preclinical
EXP340,Immunology,41.5,39.9,Phase_III
EXP341,Gene_Therapy,38.86,71.4,Preclinical
EXP342,Neuroscience,39,66.2,Phase_I
EXP343,Immunology,18.71,92.3,Preclinical
EXP344,Gene_Therapy,27.84,75.7,Phase_II
EXP345,Neuroscience,34.77,43.8,Preclinical
EXP346,Immunology,14.55,43.3,Phase_I
EXP347,Immunology,13.47,80.4,Approved
EXP348,Immunology,26.41,91.4,Phase_II
EXP349,Gene_Therapy,0.21,66.5,Phase_II
EXP350,Immunology,6.35,43.5,Preclinical
EXP351,Oncology,47.68,40.4,Phase_III
EXP352,Oncology,2.3,22.3,Approved
EXP353,Neuroscience,4.48,79,Approved
EXP354,Immunology,9.41,88.6,Phase_III
EXP355,Oncology,27.49,29.2,Phase_II
EXP356,Oncology,47.56,51.7,Approved
EXP357,Oncology,48.32,26.1,Phase_II
EXP358,Metabolic_Disorders,44.49,33.3,Preclinical
EXP359,Gene_Therapy,21,73.6,Phase_III
EXP360,Oncology,4.35,24.9,Preclinical
EXP361,Neuroscience,4.82,35.8,Preclinical
EXP362,Immunology,45.72,50.6,Approved
EXP363,Gene_Therapy,40.38,77.5,Phase_II
EXP364,Neuroscience,35.53,50.4,Phase_II
EXP365,Gene_Therapy,32.15,41.7,Phase_III
EXP366,Oncology,34.84,52.1,Preclinical
EXP367,Gene_Therapy,20.76,27.1,Approved
EXP368,Immunology,14.31,39.5,Preclinical
EXP369,Neuroscience,5.84,89.2,Approved
EXP370,Oncology,18.47,51.6,Phase_II
EXP371,Immunology,2.57,20.4,Phase_III
EXP372,Immunology,27.09,70.1,Phase_I
EXP373,Neuroscience,2.74,26,Phase_II
EXP374,Immunology,30.87,77.5,Phase_III
EXP375,Neuroscience,41.98,22.6,Phase_II
EXP376,Metabolic_Disorders,43.92,67.6,Preclinical
EXP377,Immunology,35.18,46.2,Preclinical
EXP378,Neuroscience,6.42,74.9,Phase_II
EXP379,Neuroscience,17.95,15.9,Phase_III
EXP380,Gene_Therapy,18.63,42.5,Preclinical
EXP381,Metabolic_Disorders,39.95,92,Phase_I
EXP382,Metabolic_Disorders,9.88,77.4,Phase_II
EXP383,Neuroscience,7.29,39.2,Preclinical
EXP384,Neuroscience,6.27,32.6,Phase_II
EXP385,Immunology,36.03,69.2,Approved
EXP386,Gene_Therapy,22.24,42.6,Preclinical
EXP387,Oncology,28.3,68.2,Approved
EXP388,Immunology,28.03,52.2,Phase_II
EXP389,Immunology,44.77,21.5,Phase_I
EXP390,Gene_Therapy,16.62,59.8,Phase_II
EXP391,Gene_Therapy,35.94,34.5,Phase_I
EXP392,Neuroscience,40.19,48,Preclinical
EXP393,Immunology,33.88,50.6,Preclinical
EXP394,Gene_Therapy,5.92,27.6,Preclinical
EXP395,Neuroscience,19.36,47.1,Phase_II
EXP396,Gene_Therapy,36.14,61.1,Preclinical
EXP397,Metabolic_Disorders,49.16,45.2,Phase_III
EXP398,Metabolic_Disorders,12.69,81,Phase_I
EXP399,Neuroscience,15.5,45.1,Phase_II
EXP400,Neuroscience,47.51,85.8,Preclinical
EXP401,Immunology,2.07,84.2,Phase_II
EXP402,Oncology,15.74,38.9,Phase_I
EXP403,Neuroscience,16.24,55.6,Preclinical
EXP404,Immunology,9.72,59.6,Phase_I
EXP405,Oncology,4.34,24.3,Phase_II
EXP406,Immunology,26.32,48.7,Preclinical
EXP407,Neuroscience,5.38,80.3,Phase_III
EXP408,Neuroscience,22.33,93.4,Phase_III
EXP409,Oncology,14.51,81.6,Phase_I
EXP410,Oncology,42.96,67.7,Preclinical
EXP411,Neuroscience,28.22,51.7,Phase_III
EXP412,Neuroscience,0.5,87,Phase_III
EXP413,Metabolic_Disorders,26.94,17.1,Preclinical
EXP414,Oncology,8.41,93.5,Phase_III
EXP415,Oncology,2.99,93.1,Phase_I
EXP416,Metabolic_Disorders,34.38,79.9,Preclinical
EXP417,Neuroscience,26.22,70.7,Phase_III
EXP418,Metabolic_Disorders,14.6,78.2,Phase_I
EXP419,Neuroscience,40.55,24,Preclinical
EXP420,Gene_Therapy,26.13,27.4,Phase_II
EXP421,Metabolic_Disorders,41.93,92,Phase_II
EXP422,Metabolic_Disorders,22.01,94.4,Preclinical
EXP423,Immunology,41.87,83.8,Phase_II
EXP424,Metabolic_Disorders,24.88,78.8,Phase_III
EXP425,Metabolic_Disorders,42.64,40.5,Phase_II
EXP426,Gene_Therapy,28.86,86,Approved
EXP427,Neuroscience,28.8,90.7,Phase_I
EXP428,Gene_Therapy,40.09,53.7,Phase_I
EXP429,Immunology,39.63,70.2,Preclinical
EXP430,Neuroscience,0.57,48.7,Phase_III
EXP431,Immunology,24.73,86.3,Phase_III
EXP432,Neuroscience,41.34,76.8,Phase_III
EXP433,Immunology,20.14,32.2,Phase_II
EXP434,Oncology,7.91,94.9,Phase_I
EXP435,Neuroscience,1.6,48,Phase_II
EXP436,Metabolic_Disorders,33.8,21.5,Phase_II
EXP437,Oncology,33.23,71.2,Preclinical
EXP438,Neuroscience,0.39,16.2,Preclinical
EXP439,Metabolic_Disorders,15.16,64.5,Phase_III
EXP440,Immunology,43.26,41.3,Approved
